id_student,gender,region,highest_education,studied_credits,imd_band,total_clicks,avg_score,engagement_level,performance_level,risk_level,pass_flag,dropout_flag,final_result
11391,M,East Anglian Region,HE Qualification,240,90-100%,934,82,Medium,High,Low Risk,1,0,Pass
28400,F,Scotland,HE Qualification,60,20-30%,1435,66.4,Medium,Medium,Low Risk,1,0,Pass
30268,F,North Western Region,A Level or Equivalent,60,30-40%,281,,Low,,Very High Risk,0,1,Withdrawn
31604,F,South East Region,A Level or Equivalent,60,50-60%,2158,76,High,High,Low Risk,1,0,Pass
32885,F,West Midlands Region,Lower Than A Level,60,50-60%,1034,54.4,Medium,Medium,Low Risk,1,0,Pass
38053,M,Wales,A Level or Equivalent,60,80-90%,2445,68,High,Medium,Safe,1,0,Pass
45462,M,Scotland,HE Qualification,60,30-40%,1492,68,Medium,Medium,Low Risk,1,0,Pass
45642,F,North Western Region,A Level or Equivalent,120,90-100%,1428,72.4,Medium,High,Low Risk,1,0,Pass
52130,F,East Anglian Region,A Level or Equivalent,90,70-80%,1894,71.4,High,High,Low Risk,1,0,Pass
53025,M,North Region,Post Graduate Qualification,60,,3158,78,High,High,Safe,1,0,Pass
57506,M,South Region,Lower Than A Level,60,70-80%,1319,74,Medium,High,Low Risk,1,0,Pass
58873,F,East Anglian Region,A Level or Equivalent,60,20-30%,1732,73.2,High,High,Low Risk,1,0,Pass
59185,M,East Anglian Region,Lower Than A Level,60,60-70%,1102,78.6,Medium,High,Low Risk,1,0,Pass
62155,F,North Western Region,HE Qualification,60,50-60%,3388,76,High,High,Safe,1,0,Pass
63400,M,Scotland,Lower Than A Level,60,40-50%,2737,71.6,High,High,Safe,1,0,Pass
65002,F,East Anglian Region,A Level or Equivalent,60,70-80%,176,67,Low,Medium,Very High Risk,0,1,Withdrawn
70464,F,West Midlands Region,A Level or Equivalent,60,60-70%,1053,55.6,Medium,Medium,Low Risk,1,0,Pass
71361,M,Ireland,HE Qualification,60,,2327,80.4,High,High,Safe,1,0,Pass
74372,M,East Anglian Region,A Level or Equivalent,150,10-20,116,48.5,Low,Low,Very High Risk,0,0,Fail
75091,M,South West Region,A Level or Equivalent,60,30-40%,2992,66,High,Medium,Safe,1,0,Pass
77367,M,East Midlands Region,A Level or Equivalent,60,30-40%,680,70.4,Medium,High,High Risk,1,0,Pass
91265,M,North Western Region,HE Qualification,60,0-10%,1494,70.8,Medium,High,Low Risk,1,0,Pass
94961,M,South Region,Lower Than A Level,60,70-80%,1240,65.3333333333333,Medium,Medium,Low Risk,0,1,Withdrawn
98094,M,Wales,Lower Than A Level,60,70-80%,2839,60.6,High,Medium,Safe,1,0,Pass
100893,M,Yorkshire Region,A Level or Equivalent,60,20-30%,744,68.4,Medium,Medium,High Risk,1,0,Pass
101781,M,South Region,Lower Than A Level,60,80-90%,4104,72.6,High,High,Safe,1,0,Pass
102806,M,North Western Region,A Level or Equivalent,60,30-40%,1944,78,High,High,Low Risk,1,0,Pass
102952,M,London Region,HE Qualification,60,60-70%,1150,76.6,Medium,High,Low Risk,1,0,Pass
104476,M,Ireland,Post Graduate Qualification,60,,4777,79.6,High,High,Safe,1,0,Pass
106247,M,South Region,HE Qualification,60,80-90%,465,60,Low,Medium,High Risk,0,1,Withdrawn
106577,M,East Midlands Region,Lower Than A Level,60,20-30%,733,53.4,Medium,Medium,High Risk,1,0,Pass
110175,M,East Anglian Region,HE Qualification,60,80-90%,998,63.4,Medium,Medium,Low Risk,1,0,Pass
111717,F,East Anglian Region,HE Qualification,60,90-100%,2343,81,High,High,Safe,1,0,Pass
113295,M,Yorkshire Region,Lower Than A Level,60,60-70%,3553,77.6,High,High,Safe,1,0,Pass
114017,F,North Region,Post Graduate Qualification,60,,757,71.8,Medium,High,High Risk,1,0,Pass
114999,M,Yorkshire Region,HE Qualification,60,60-70%,1358,72.8,Medium,High,Low Risk,1,0,Pass
116541,M,Wales,HE Qualification,60,0-10%,1886,62.4,High,Medium,Low Risk,1,0,Pass
116692,M,East Anglian Region,A Level or Equivalent,60,70-80%,1108,74.2,Medium,High,Low Risk,1,0,Pass
118983,M,East Midlands Region,HE Qualification,120,30-40%,284,61.8,Low,Medium,Very High Risk,1,0,Pass
123044,M,South Region,A Level or Equivalent,60,40-50%,2041,71.4,High,High,Low Risk,1,0,Pass
127582,F,East Midlands Region,A Level or Equivalent,180,40-50%,1321,69.6,Medium,Medium,Low Risk,1,0,Pass
129955,M,West Midlands Region,A Level or Equivalent,60,50-60%,1888,81,High,High,Low Risk,0,1,Withdrawn
132976,F,East Anglian Region,Lower Than A Level,120,80-90%,520,67.4,Medium,Medium,High Risk,1,0,Pass
134143,F,South East Region,A Level or Equivalent,60,90-100%,2732,84.4,High,High,Safe,1,0,Distinction
135335,F,East Anglian Region,Lower Than A Level,180,20-30%,73,,Low,,Very High Risk,0,1,Withdrawn
135400,F,South East Region,Lower Than A Level,60,90-100%,610,53.1428571428571,Medium,Medium,High Risk,0,1,Withdrawn
137873,M,South West Region,A Level or Equivalent,60,40-50%,5528,80.2,High,High,Safe,1,0,Pass
141355,F,East Midlands Region,A Level or Equivalent,240,30-40%,1823,72.6,High,High,Low Risk,1,0,Pass
141377,M,South West Region,A Level or Equivalent,345,90-100%,756,48.8333333333333,Medium,Low,High Risk,0,1,Withdrawn
142326,F,North Region,A Level or Equivalent,60,50-60%,2121,73.6,High,High,Low Risk,1,0,Pass
144801,F,South Region,HE Qualification,60,80-90%,5645,68.8,High,Medium,Safe,1,0,Pass
145130,M,South West Region,HE Qualification,120,60-70%,452,54.4,Low,Medium,High Risk,1,0,Pass
146188,F,West Midlands Region,A Level or Equivalent,60,20-30%,597,50,Medium,Low,High Risk,0,0,Fail
147756,M,North Region,Lower Than A Level,120,60-70%,1718,68.6666666666667,High,Medium,Low Risk,0,0,Fail
147793,F,North Region,Lower Than A Level,90,80-90%,155,52,Low,Medium,Very High Risk,0,1,Withdrawn
